marca,nome,descricao,familia,genero,categoria,notas_topo,notas_coracao,notas_base,image_url,tipo_produto,tamanho_original_ml,tamanhos_disponivel,codigo_lote,qty_ml,custo_total,warehouse_id,fornecedor,data_validade,margem_percentual
Armaf,Clube De Nuit Woman,"Introdução: Um floral moderno inspirado em ícones de elegância, que combina frescor cítrico com um rastro cremoso e sofisticado. Perfil Olfativo: Floral Chypre. Sensação & Estilo: Chic, jovem e versátil; assinatura limpa com toque sensual. Ocasiões de Uso: Dia a dia, trabalho, encontros, meia-estação e verão. Diferenciais: Acorde ""clean"" cítrico-floral sobre base macia de patchouli-baunilha.",Floral Chypre,Feminino,Árabe,"Bergamota, Laranja, Toranja, Pêssego","Rosa, Jasmim, Gerânio, Lírio-do-vale, Lichia","Patchouli, Baunilha, Vetiver, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/armaf-club-de-nuit-woman.jpg,decant,100.0,"[5, 10]",Clube-De-Nuit-Woman-0001,100.0,225.99,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Orientica,Amber Rouge,"Introdução: Âmbar arejado com brilho açafranado e elegância minimalista; uma leitura luminosa e envolvente que deixa rastro limpo e sofisticado. Perfil Olfativo: Âmbar Amadeirado. Sensação & Estilo: Etéreo, marcante e contemporâneo. Ocasiões: Dia/noite, encontros e eventos em clima ameno.",Âmbar Amadeirado,Unissex,Árabe,"Açafrão, Jasmim","Âmbar cinza, Acorde ambarado","Cedro, Resina de abeto",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/orientica-amber-rouge-cata-logo-1-1-1758216366450-oxz6ia.png,decant,150.0,"[5, 10]",Amber-Rouge-0001,150.0,425.99,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Afnan,Supremacy Collector's Edition Pour Homme,"Introdução: Chipre moderno inspirado no DNA frutado‑defumado ícone da perfumaria. Abertura cítrica e frutada vibrante que evolui para um coração amadeirado com toque esfumaçado e uma base de âmbar cinzento cremosa. Perfil: Chipre Amadeirado. Sensação & Estilo: Elegante, assertivo e versátil. Ocasiões: Do escritório ao encontro, meia‑estação e noites leves.",Chipre Amadeirado,Masculino,Árabe,"Bergamota, Abacaxi, Maçã, Groselha-preta","Bétula, Rosa, Jasmim","Patchouli, Âmbar cinzento, Almíscar, Baunilha",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/afnan-supremacy-collectors-edition.png,decant,100.0,"[5, 10]",Supremacy-Collector's-Edition-0001,100.0,270.99,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Afnan,Turathi Blue,"Introdução: Frescor elegante com brilho aromático e base amadeirada limpa; assinatura moderna e fácil de usar. Perfil: Aromático Amadeirado. Sensação & Estilo: Masculino, urbano e contemporâneo. Ocasiões: Trabalho, uso casual e dias quentes.",Aromático Amadeirado,Masculino,Árabe,"Toranja, Bergamota, Pimenta-rosa","Lavanda, Gengibre, Ambroxan","Cedro, Vetiver, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/afnan-turathi.jpg,decant,90.0,"[5, 10]",Turathi-Blue-0001,90.0,265.99,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Orientica,Royal Amber,"Introdução: Oriental luminoso que mistura frutas suculentas e âmbar cremoso em um rastro sofisticado e confortável. Perfil: Âmbar Frutado. Sensação & Estilo: Aconchegante, luxuoso e envolvente. Ocasiões: Noite e clima ameno/frio.",Âmbar Frutado,Unissex,Árabe,"Bergamota, Notas verdes","Abacaxi, Melão, Notas amadeiradas","Âmbar, Baunilha, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/orientica-royal-amber-cata-logo-1-1-1758216370513-xrys4p.png,decant,80.0,"[5, 10]",Orientica-Royal-Amber-0001,80.0,495.99,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Lattafa,Eternal Oud,"Introdução: Oud sofisticado com toque gourmand e resinoso, polido para um resultado sedutor e elegante. Perfil: Âmbar Amadeirado/Oud. Sensação & Estilo: Rico, envolvente e noturno. Ocasiões: Eventos, clima ameno a frio.",Amadeirado Oriental (Oud),Unissex,Árabe,"Açafrão, Rosa","Oud, Praliné, Âmbar","Patchouli, Baunilha, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/lattafa-pride-eternal-oud-cata-logo-corrigido-1-1-1758216358059-noqfjf.png,decant,100.0,"[5, 10]",Eternal-Oud-0001,100.0,183.4,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
French Avenue,Azzure Aoud,"Introdução: Uma leitura exótica de oud com maracujá suculento e açafrão luminoso — contraste tropical sobre madeiras nobres. Inspirado no estilo Oud Maracujá. Perfil: Âmbar Amadeirado (Oud). Sensação & Estilo: Luxuoso, vibrante e sedutor. Ocasiões: Noite e eventos.",Âmbar Amadeirado (Oud),Unissex,Árabe,"Maracujá, Açafrão, Bergamota","Rosa, Jasmim","Oud, Baunilha, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/azzure-aoud.jpg,decant,100.0,"[5, 10]",Azzure-Aoud-0001,100.0,303.4,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
French Avenue,Vulcan Feu,"Introdução: Explosão frutada‑especiada com manga, limão e gengibre sobre um fundo âmbar‑baunilha magnético. Inspirado em God of Fire. Perfil: Âmbar Especiado Frutado. Sensação & Estilo: Ousado, luminoso e noturno. Ocasiões: Festas e noites em clima ameno/frio.",Âmbar Especiado,Unissex,Árabe,"Manga, Limão, Pimenta‑rosa, Gengibre","Jasmim, Notas verdes","Âmbar, Baunilha, Almíscar, Madeiras",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/vulcan-feu-cata-logo-revisado-1-1-1758216380093-ndkr8a.png,decant,100.0,"[5, 10]",Vulcan-Feu-0001,100.0,303.4,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Lattafa,Yara Tous,"Introdução: Um Yara mais luminoso e cremoso, com frutas suaves e flores aveludadas sobre baunilha viciante. Perfil: Floral Frutado Gourmand. Sensação & Estilo: Doce-conforto e romantismo. Ocasiões: Dia a dia, encontros e meia‑estação.",Floral Frutado,Feminino,Árabe,"Frutas brancas, Mandarina","Jasmim, Flores brancas","Baunilha, Sândalo, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/lattafa-yara-moi-cata-logo-revisado-1-1-1758216361449-nrpv4h.png,decant,100.0,"[5, 10]",Yara-Tous-0001,100.0,153.4,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Lattafa,Yara Moi,"Introdução: A leitura mais sensual da linha, combinando coco cremoso, flores brancas e baunilha aveludada. Perfil: Floral Oriental Gourmand. Sensação & Estilo: Aconchegante e sedutora. Ocasiões: Noite leve e encontros.",Floral Gourmand,Feminino,Árabe,"Coco, Notas frutadas","Jasmim, Ylang-ylang","Baunilha, Sândalo, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/lattafa-yara-moi-catalogo-corrigido-1758216363688-ap9va9.jpg,decant,100.0,"[5, 10]",Yara-Moi-0001,100.0,153.4,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
